name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Erling Haaland,Man City,FWD,36,Southampton,False,2.85,0.83,0.9113077202338422,1.1963077202338421,0.8312052813098921,0.2,17,1150,1060
Mohamed Salah,Liverpool,MID,36,Arsenal,True,0.6,0.7,0.9776794108669111,1.037679410866911,0.69724770856026,0.12,1,1340,1300
Omar Marmoush,Man City,FWD,36,Southampton,False,2.85,0.52,0.43402801734564056,0.7190280173456405,0.520973474432561,0.2,17,1150,1060
Chris Wood,Nott'm Forest,FWD,36,Leicester,True,2.2,0.48,0.43829105420221964,0.6582910542022196,0.4814944483893374,0.2,11,1200,1090
Yoane Wissa,Brentford,FWD,36,Ipswich,False,1.2,0.36,0.343942307911387,0.463942307911387,0.35516776330029626,0.2,10,1080,1080
Cole Palmer,Chelsea,MID,36,Newcastle,False,-0.6,0.34,0.5514037231473378,0.4914037231473378,0.34216851154253736,0.12,15,1150,1250
Alexander Isak,Newcastle,FWD,36,Chelsea,True,-2.2,0.33,0.6474296550546731,0.42742965505467306,0.3314345389434322,0.2,6,1140,1320
Bryan Mbeumo,Brentford,MID,36,Ipswich,False,1.2,0.29,0.2883230561758542,0.4083230561758542,0.288166078011073,0.12,10,1080,1080
Sávio 'Savinho' Moreira de Oliveira,Man City,MID,36,Southampton,False,2.85,0.28,0.10764466268168073,0.39264466268168063,0.2779751222398602,0.11399999999999999,17,1150,1060
Ollie Watkins,Aston Villa,FWD,36,Bournemouth,False,-0.8,0.27,0.4182721596214244,0.33827215962142443,0.2734821669118206,0.2,3,1160,1260
Raúl Jiménez,Fulham,FWD,36,Everton,True,0.75,0.27,0.25126115398082305,0.326261153980823,0.2656750132454297,0.2,8,1150,1100
Kai Havertz,Arsenal,FWD,36,Liverpool,False,-0.2,0.26,0.3387226862404881,0.3187226862404881,0.260775009214212,0.2,12,1370,1370
Bukayo Saka,Arsenal,MID,36,Liverpool,False,-0.2,0.25,0.3681125806855686,0.3481125806855686,0.24902926894238736,0.11366666666666667,12,1370,1370
Nicolas Jackson,Chelsea,FWD,36,Newcastle,False,-0.6,0.25,0.35893590763811345,0.2989359076381135,0.24791360312266852,0.2,15,1150,1250
Matheus Santos Carneiro Da Cunha,Wolves,FWD,36,Brighton,True,-1.45,0.25,0.4525666297496794,0.3075666297496794,0.25352357249518637,0.2,5,1070,1160
Marco Asensio,Aston Villa,MID,36,Bournemouth,False,-0.8,0.25,0.4353501632294568,0.35535016322945684,0.25373369759591474,0.112,3,1160,1260
Phil Foden,Man City,MID,36,Southampton,False,2.85,0.24,0.04985401914647197,0.3348540191464719,0.24041120394197452,0.11213333333333333,17,1150,1060
Kevin De Bruyne,Man City,MID,36,Southampton,False,2.85,0.23,0.030667580730080735,0.31566758073008067,0.2279400189713202,0.0876551724137931,17,1150,1060
Luis Díaz,Liverpool,MID,36,Arsenal,True,0.6,0.22,0.23911549135481913,0.2991154913548191,0.21718116087740016,0.12,1,1340,1300
Bernardo Veiga de Carvalho e Silva,Man City,MID,36,Southampton,False,2.85,0.22,0.02301350350579425,0.30801350350579415,0.22296486877553398,0.12,17,1150,1060
Mateo Kovačić,Man City,MID,36,Southampton,False,2.85,0.21,0.0037927350427350427,0.28879273504273495,0.2104713692745455,0.12,17,1150,1060
Ilkay Gündogan,Man City,MID,36,Southampton,False,2.85,0.21,0.0074099025974025965,0.2924099025974025,0.2128225281850794,0.12,17,1150,1060
Nico González,Man City,MID,36,Southampton,False,2.85,0.21,0.0002380952380952381,0.2852380952380952,0.20816085340152965,0.12,17,1150,1060
Brennan Johnson,Spurs,MID,36,Crystal Palace,True,-0.1,0.21,0.2971858509137921,0.2871858509137922,0.2094268945907327,0.12,7,1090,1120
Matheus Luiz Nunes,Man City,MID,36,Southampton,False,2.85,0.21,0.0,0.2849999999999999,0.20800609149676771,0.08413793103448276,17,1150,1060
Joško Gvardiol,Man City,DEF,36,Southampton,False,2.85,0.21,0.027793474499356846,0.3127934744993568,0.20991022928212724,0.06,17,1150,1060
Jérémy Doku,Man City,MID,36,Southampton,False,2.85,0.21,0.005416666666666668,0.2904166666666666,0.21152692483010108,0.0846,17,1150,1060
Morgan Gibbs-White,Nott'm Forest,MID,36,Leicester,True,2.2,0.2,0.050598086826027996,0.270598086826028,0.19864484793368598,0.12,11,1200,1090
Jean-Philippe Mateta,Crystal Palace,FWD,36,Spurs,False,-0.9,0.2,0.120522089022089,0.030522089022088972,0.07344462102225256,0.2,18,1140,1210
Iliman Ndiaye,Everton,FWD,36,Fulham,False,-0.35,0.2,0.018759920634920636,0.0,0.05360526315789473,0.2,9,1140,1150
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,36,Aston Villa,True,-1.6,0.2,0.33308413808413817,0.17308413808413814,0.1661099529125845,0.2,2,1130,1270
Anthony Elanga,Nott'm Forest,MID,36,Leicester,True,2.2,0.2,0.05208125039375038,0.27208125039375036,0.19960890425270553,0.12,11,1200,1090
Jarrod Bowen,West Ham,MID,36,Man Utd,False,-0.45,0.2,0.310165438988612,0.26516543898861195,0.19511362683936553,0.12,14,1080,1110
Dominic Calvert-Lewin,Everton,FWD,36,Fulham,False,-0.35,0.2,0.041790022477522476,0.0067900224775225,0.05801877776828436,0.2,9,1140,1150
João Pedro Junqueira de Jesus,Brighton,FWD,36,Wolves,False,0.75,0.2,0.11836425553613056,0.1933642555361305,0.17929202925637958,0.19645833333333335,20,1140,1120
Liam Delap,Ipswich,FWD,36,Brentford,True,-3.6,0.2,0.05588929126429127,0.0,0.05360526315789473,0.2,4,1070,1310
Jørgen Strand Larsen,Wolves,FWD,36,Brighton,True,-1.45,0.2,0.20431387566681686,0.05931387566681684,0.09215928234132567,0.2,5,1070,1160
Dominic Solanke-Mitchell,Spurs,FWD,36,Crystal Palace,True,-0.1,0.2,0.08200080475080472,0.07200080475080477,0.10040578624591784,0.2,7,1090,1120
Jamie Vardy,Leicester,FWD,36,Nott'm Forest,False,-2.2,0.2,0.041633116883116876,0.0,0.05360526315789473,0.2,16,1080,1190
Nathan Aké,Man City,DEF,36,Southampton,False,2.85,0.19,0.0008333333333333333,0.2858333333333333,0.19238613752421196,0.030772727272727275,17,1150,1060
Odsonne Edouard,Crystal Palace,FWD,36,Spurs,False,-0.9,0.19,0.016033459595959594,0.0,0.05360526315789473,0.19166666666666668,18,1140,1210
Kyle Walker,Man City,DEF,36,Southampton,False,2.85,0.19,0.0005555555555555556,0.28555555555555545,0.1922055819686564,0.046,17,1150,1060
Abdukodir Khusanov,Man City,DEF,36,Southampton,False,2.85,0.19,0.00073062558356676,0.28573062558356666,0.19231937748686367,0.06,17,1150,1060
Ederson Santana de Moraes,Man City,GK,36,Southampton,False,2.85,0.19,0.00125,0.2862499999999999,0.18606249999999994,0.01,17,1150,1060
Stefan Ortega Moreno,Man City,GK,36,Southampton,False,2.85,0.19,0.0025,0.2874999999999999,0.18687499999999996,0.006007246376811594,17,1150,1060
Rúben Gato Alves Dias,Man City,DEF,36,Southampton,False,2.85,0.19,0.0020416666666666665,0.2870416666666666,0.1931715541908786,0.05962068965517241,17,1150,1060
