name,team,position,predicted_assists
Aaron Cresswell,West Ham,DEF,0.0
Aaron Hickey,Brentford,DEF,0.0
Aaron Ramsdale,Arsenal,GK,0.0
Aaron Ramsdale,Southampton,GK,0.0
Aaron Wan-Bissaka,West Ham,DEF,0.1
Abdoulaye Doucouré,Everton,MID,0.0
Abdul Fatawu,Leicester,MID,0.0
Adam Armstrong,Southampton,FWD,0.0
Adam Lallana,Southampton,MID,0.0
Adam Smith,Bournemouth,DEF,0.0
Adam Webster,Brighton,DEF,0.0
Adam Wharton,Crystal Palace,MID,0.0
Adama Traoré,Fulham,MID,0.66
Adrian Mazilu,Brighton,MID,0.0
Alejandro Garnacho,Man Utd,MID,0.34
Alejo Véliz,Spurs,FWD,0.0
Alex Iwobi,Fulham,MID,0.58
Alex McCarthy,Southampton,GK,0.0
Alex Mighten,Nott'm Forest,MID,0.0
Alex Murphy,Newcastle,DEF,0.0
Alex Paulsen,Bournemouth,GK,0.0
Alex Scott,Bournemouth,MID,0.0
Alexander Isak,Newcastle,FWD,0.22
Alexis Mac Allister,Liverpool,MID,0.62
Alfie Devine,Spurs,MID,0.0
Alfie Dorrington,Spurs,DEF,0.0
Alfie Gilchrist,Chelsea,DEF,0.0
Alfie Pond,Wolves,DEF,0.0
Alfie Whiteman,Spurs,GK,0.0
Ali Al-Hamadi,Ipswich,FWD,0.0
Alisson Ramses Becker,Liverpool,GK,0.0
Alphonse Areola,West Ham,GK,0.0
Altay Bayindir,Man Utd,GK,0.0
Amad Diallo,Man Utd,MID,0.16
Amadou Onana,Aston Villa,MID,0.0
Amara Nallo,Liverpool,DEF,0.0
Amario Cozier-Duberry,Brighton,MID,0.0
Andreas Hoelgebaum Pereira,Fulham,MID,0.25
Andrew Moran,Brighton,MID,0.0
Andrew Omobamidele,Nott'm Forest,DEF,0.0
Andrew Robertson,Liverpool,DEF,0.2
Andrey Nascimento dos Santos,Chelsea,MID,0.0
André Onana,Man Utd,GK,0.0
André Trindade da Costa Neto,Wolves,MID,0.0
Andy Irving,West Ham,MID,0.0
Anthony Elanga,Nott'm Forest,MID,0.44
Anthony Gordon,Newcastle,MID,0.36
Antoine Semenyo,Bournemouth,MID,0.26
Antonee Robinson,Fulham,DEF,0.27
Antony Matheus dos Santos,Man Utd,MID,0.0
Antonín Kinsky,Spurs,GK,0.01
Archie Gray,Spurs,MID,0.0
Archie Harris,Bournemouth,DEF,0.0
Arijanet Muric,Ipswich,GK,0.0
Armando Broja,Chelsea,FWD,0.0
Armando Broja,Everton,FWD,0.02
Armel Bella-Kotchap,Southampton,DEF,0.0
Asher Agbinone,Crystal Palace,MID,0.0
Ashley Phillips,Spurs,DEF,0.0
Ashley Young,Everton,DEF,0.15
Asmir Begovic,Everton,GK,0.0
Axel Disasi,Chelsea,DEF,0.0
Axel Tuanzebe,Ipswich,DEF,0.0
Ayden Heaven,Arsenal,DEF,0.0
Bart Verbruggen,Brighton,GK,0.03
Bastien Meupiyou,Wolves,DEF,0.0
Ben Brereton Díaz,Southampton,MID,0.0
Ben Broggio,Aston Villa,MID,0.0
Ben Chilwell,Chelsea,DEF,0.0
Ben Davies,Spurs,DEF,0.0
Ben Doak,Liverpool,MID,0.0
Ben Godfrey,Ipswich,DEF,0.0
Ben Johnson,Ipswich,DEF,0.0
Ben Mee,Brentford,DEF,0.0
Ben Nelson,Leicester,DEF,0.0
Ben Winterburn,Bournemouth,MID,0.0
Benicio Baker-Boaitey,Brighton,MID,0.0
Benjamin Arthur,Brentford,DEF,0.0
Benjamin White,Arsenal,DEF,0.0
Benoît Badiashile,Chelsea,DEF,0.0
Bernardo Veiga de Carvalho e Silva,Man City,MID,0.39
Bernd Leno,Fulham,GK,0.14
Bilal El Khannouss,Leicester,MID,0.0
Billy Gilmour,Brighton,MID,0.0
Bobby Clark,Liverpool,MID,0.0
Bobby De Cordova-Reid,Leicester,MID,0.0
Boubacar Kamara,Aston Villa,MID,0.0
Boubacar Traoré,Wolves,MID,0.0
Boubakary Soumaré,Leicester,MID,0.0
Brajan Gruda,Brighton,MID,0.0
Brandon Austin,Spurs,GK,0.0
Brennan Johnson,Spurs,MID,0.34
Bruno Borges Fernandes,Man Utd,MID,0.28
Bruno Guimarães Rodriguez Moura,Newcastle,MID,0.3
Bryan Gil Salvatierra,Spurs,MID,0.0
Bryan Mbeumo,Brentford,MID,0.56
Bukayo Saka,Arsenal,MID,0.58
Caleb Kporha,Crystal Palace,DEF,0.0
Caleb Okoli,Leicester,DEF,0.0
Caleb Wiley,Chelsea,DEF,0.0
Callum Bates,Everton,MID,0.0
Callum Hudson-Odoi,Nott'm Forest,MID,0.36
Callum Olusesi,Spurs,MID,0.0
Callum Wilson,Newcastle,FWD,0.0
Calvin Bassey,Fulham,DEF,0.0
Cameron Archer,Southampton,FWD,0.0
Cameron Burgess,Ipswich,DEF,0.0
Cameron Humphreys,Ipswich,MID,0.0
Cameron Peupion,Brighton,MID,0.0
Caoimhin Kelleher,Liverpool,GK,0.02
Carl Rushworth,Brighton,GK,0.0
Carlos Alcaraz Durán,Southampton,MID,0.0
Carlos Baleba,Brighton,MID,0.0
Carlos Henrique Casimiro,Man Utd,MID,0.02
Carlos Miguel dos Santos Pereira,Nott'm Forest,GK,0.0
Carlos Roberto Forbs Borges,Wolves,MID,0.0
Carlos Soler,West Ham,MID,0.0
Carlos Vinícius Alves Morais,Fulham,FWD,0.0
Carney Chukwuemeka,Chelsea,MID,0.0
Cesare Casadei,Chelsea,MID,0.0
Chadi Riad Dnanou,Crystal Palace,DEF,0.0
Charlie Taylor,Southampton,DEF,0.0
Cheick Doucouré,Crystal Palace,MID,0.0
Chiedozie Ogbene,Ipswich,MID,0.0
Chris Mepham,Bournemouth,DEF,0.0
Chris Richards,Crystal Palace,DEF,0.0
Chris Wood,Nott'm Forest,FWD,0.02
Christian Eriksen,Man Utd,MID,0.0
Christian Nørgaard,Brentford,MID,0.03
Christian Walton,Ipswich,GK,0.0
Christopher Nkunku,Chelsea,MID,0.0
Cieran Slicker,Ipswich,GK,0.0
Cody Gakpo,Liverpool,FWD,0.34
Cole Palmer,Chelsea,MID,0.26
Conor Bradley,Liverpool,DEF,0.0
Conor Chaplin,Ipswich,MID,0.0
Conor Coady,Leicester,DEF,0.0
Conor Gallagher,Chelsea,MID,0.0
Conor Townsend,Ipswich,DEF,0.0
Corrie Ndaba,Ipswich,DEF,0.0
Craig Dawson,Wolves,DEF,0.0
Cristian Romero,Spurs,DEF,0.0
Crysencio Summerville,West Ham,MID,0.0
Curtis Jones,Liverpool,MID,0.12
Daichi Kamada,Crystal Palace,MID,0.0
Dan Burn,Newcastle,DEF,0.0
Dane Scarlett,Spurs,FWD,0.0
Dango Ouattara,Bournemouth,MID,0.57
Daniel Adu-Adjei,Bournemouth,FWD,0.0
Daniel Bentley,Wolves,GK,0.0
Daniel Castelo Podence,Wolves,MID,0.0
Daniel Iversen,Leicester,GK,0.0
Daniel Jebbison,Bournemouth,FWD,0.0
Daniel Muñoz,Crystal Palace,DEF,0.32
Danilo dos Santos de Oliveira,Nott'm Forest,MID,0.0
Danny Ings,West Ham,FWD,0.04
Danny Ward,Leicester,GK,0.0
Danny Welbeck,Brighton,FWD,0.17
Dara O'Shea,Ipswich,DEF,0.0
Darwin Núñez Ribeiro,Liverpool,FWD,0.0
David Brooks,Bournemouth,MID,0.0
David Datro Fofana,Chelsea,FWD,0.0
David Ozoh,Crystal Palace,MID,0.0
David Raya Martin,Arsenal,GK,0.0
Dean Henderson,Crystal Palace,GK,0.02
Dean Huijsen,Bournemouth,DEF,0.1
