name,team,position,GW,predicted_cards
Emmanuel Agbadou,Wolves,DEF,22,1.0
Jordan Ayew,Crystal Palace,MID,22,1.0
Joachim Andersen,Crystal Palace,DEF,22,0.975
Nélson Cabral Semedo,Wolves,DEF,22,0.755
Toti António Gomes,Wolves,DEF,22,0.75
Emerson Palmieri dos Santos,West Ham,DEF,22,0.73
Bukayo Saka,Arsenal,MID,22,0.705
Marc Guéhi,Crystal Palace,DEF,22,0.65
Flynn Downes,Southampton,MID,22,0.545
João Victor Gomes da Silva,Wolves,MID,22,0.54
Daniel Muñoz,Crystal Palace,DEF,22,0.525
Moisés Caicedo Corozo,Chelsea,MID,22,0.505
Jamie Vardy,Leicester,FWD,22,0.505
Jaden Philogene,Aston Villa,MID,22,0.5
Sam Morsy,Ipswich,MID,22,0.5
Tomáš Souček,West Ham,MID,22,0.49
Kyle Walker-Peters,Southampton,DEF,22,0.485
Jan Bednarek,Southampton,DEF,22,0.48
Neco Williams,Nott'm Forest,DEF,22,0.47
Robert Sánchez,Chelsea,GK,22,0.47
Justin Kluivert,Bournemouth,MID,22,0.465
Jordan Pickford,Everton,GK,22,0.465
Lewis Cook,Bournemouth,MID,22,0.46
Yves Bissouma,Spurs,MID,22,0.45
Jhon Durán,Aston Villa,FWD,22,0.44
Tyler Dibling,Southampton,MID,22,0.44
Wilfred Ndidi,Leicester,MID,22,0.44
Dara O'Shea,Ipswich,DEF,22,0.435
Jordan Ayew,Leicester,MID,22,0.415
Levi Colwill,Chelsea,DEF,22,0.41
Lewis Dunk,Brighton,DEF,22,0.405
Will Hughes,Crystal Palace,MID,22,0.405
Lisandro Martínez,Man Utd,DEF,22,0.405
Bernardo Veiga de Carvalho e Silva,Man City,MID,22,0.4
Lewis Hall,Newcastle,DEF,22,0.39
Jan Paul van Hecke,Brighton,DEF,22,0.39
Dan Burn,Newcastle,DEF,22,0.38
Mario Lemina,Wolves,MID,22,0.38
Jack Stephens,Southampton,DEF,22,0.375
Mateo Kovačić,Man City,MID,22,0.375
Jannik Vestergaard,Leicester,DEF,22,0.375
Cody Gakpo,Liverpool,FWD,22,0.365
Saša Lukić,Fulham,MID,22,0.36
Manuel Ugarte,Man Utd,MID,22,0.36
Ryan Yates,Nott'm Forest,MID,22,0.36
Morgan Gibbs-White,Nott'm Forest,MID,22,0.35
Carlos Baleba,Brighton,MID,22,0.345
Facundo Buonanotte,Leicester,MID,22,0.345
Ibrahima Konaté,Liverpool,DEF,22,0.345
Rico Lewis,Man City,DEF,22,0.345
Ryan Gravenberch,Liverpool,MID,22,0.335
Calvin Bassey,Fulham,DEF,22,0.325
