name,team,minutes,xP,threat,bps,transfers_in,expected_goals,GW,predicted_goals
Erling Haaland,Man City,88.57142857142857,6.0249999999999995,41.357142857142854,26.785714285714285,937653.3928571428,0.7421428571428572,23,0.9620833333333333
Mohamed Salah,Liverpool,88.5625,11.790625,38.5,33.125,3219172.53125,0.6890625,23,0.913690476190476
Cole Palmer,Chelsea,85.58064516129032,6.229032258064516,21.129032258064516,27.032258064516128,2273834.2580645164,0.49322580645161296,23,0.82025
Omar Marmoush,Man City,73.5,5.68,0.0,26.1,1431251.5,0.379,23,0.7335
Matheus Santos Carneiro Da Cunha,Wolves,77.25,4.739285714285714,18.535714285714285,25.535714285714285,421919.03571428574,0.26285714285714284,23,0.7174166666666666
Alexander Isak,Newcastle,75.38709677419355,5.919354838709677,25.967741935483872,25.0,2370013.129032258,0.5619354838709678,23,0.598529761904762
Bukayo Saka,Arsenal,56.833333333333336,5.545833333333333,25.166666666666668,19.5,472473.9166666667,0.21666666666666667,23,0.3893809523809524
Marcus Rashford,Aston Villa,44.625,3.9625,0.0,14.875,627741.375,0.1975,23,0.30684523809523817
Harvey Barnes,Newcastle,44.75,4.457142857142857,10.607142857142858,13.678571428571429,61505.96428571428,0.1907142857142857,23,0.24830952380952387
Marco Asensio,Aston Villa,56.0,4.942857142857143,0.0,15.857142857142858,217680.85714285713,0.5371428571428571,23,0.22508333333333336
Ollie Watkins,Aston Villa,68.93548387096774,4.706451612903226,23.161290322580644,17.29032258064516,791267.5806451613,0.44806451612903225,23,0.2168333333333334
Amad Diallo,Man Utd,66.29166666666667,4.095833333333333,18.125,19.25,448577.5416666667,0.17166666666666666,23,0.21083333333333334
Nicolas Jackson,Chelsea,72.11111111111111,4.3,28.22222222222222,14.518518518518519,451202.55555555556,0.422962962962963,23,0.2025
Antoine Semenyo,Bournemouth,85.40625,3.540625,22.46875,14.59375,387526.0,0.26687500000000003,23,0.1883988095238095
Eberechi Eze,Crystal Palace,70.16129032258064,2.5161290322580645,13.129032258064516,14.67741935483871,378434.9032258064,0.22483870967741934,23,0.18255952380952373
Bryan Mbeumo,Brentford,89.84375,5.346875,15.625,23.6875,1644224.28125,0.3196875,23,0.1794166666666667
Jarrod Bowen,West Ham,81.9,4.116666666666666,20.266666666666666,16.8,271518.76666666666,0.242,23,0.1775
Son Heung-min,Spurs,64.54838709677419,4.016129032258065,14.870967741935484,17.419354838709676,249533.70967741936,0.22838709677419355,23,0.17208333333333328
Yoane Wissa,Brentford,74.40625,3.903125,16.9375,18.15625,605797.0,0.444375,23,0.15141666666666664
Raúl Jiménez,Fulham,61.03125,3.340625,19.0625,13.96875,412159.59375,0.3265625,23,0.1469345238095238
Francisco Evanilson de Lima Barbosa,Bournemouth,69.61538461538461,4.107692307692307,22.03846153846154,16.615384615384617,115957.07692307692,0.41307692307692306,23,0.13391666666666663
Chris Wood,Nott'm Forest,81.1,5.133333333333334,17.466666666666665,22.433333333333334,1625369.2666666666,0.36333333333333334,23,0.13363095238095238
Brennan Johnson,Spurs,69.25,4.557142857142857,21.928571428571427,15.821428571428571,135915.14285714287,0.36678571428571427,23,0.13083333333333333
Justin Kluivert,Bournemouth,66.6896551724138,4.606896551724137,16.655172413793103,17.03448275862069,737306.5862068966,0.3303448275862069,23,0.12774999999999997
Anthony Gordon,Newcastle,74.03448275862068,3.8517241379310345,18.689655172413794,15.310344827586206,618411.0,0.27827586206896554,23,0.11320833333333333
James Maddison,Spurs,59.48275862068966,4.486206896551724,14.310344827586206,19.724137931034484,224221.10344827586,0.1896551724137931,23,0.1088809523809524
Ismaïla Sarr,Crystal Palace,71.0,3.625,16.84375,14.25,249134.53125,0.2603125,23,0.09770833333333334
João Pedro Junqueira de Jesus,Brighton,58.9375,3.421875,11.96875,16.3125,665837.875,0.2790625,23,0.09227380952380954
Anthony Elanga,Nott'm Forest,62.53125,3.625,8.21875,13.625,278298.4375,0.1325,23,0.09097619047619046
