name,team,position,price,ExpPts,Squad,XI
Mohamed Salah,Liverpool,MID,13.7,7.76,1,1
Alexander Isak,Newcastle,FWD,9.3,5.48,1,1
Cole Palmer,Chelsea,MID,11.4,6.03,1,1
Luis Díaz,Liverpool,MID,7.6,4.61,1,1
Matheus Santos Carneiro Da Cunha,Wolves,FWD,7.0,4.43,1,1
Justin Kluivert,Bournemouth,MID,0.4,4.3500000000000005,1,1
Trent Alexander-Arnold,Liverpool,DEF,7.2,3.9699999999999998,1,1
Antonee Robinson,Fulham,DEF,5.0,3.26,1,1
Bernd Leno,Fulham,GK,5.0,2.63,1,1
Bruno Borges Fernandes,Man Utd,MID,8.3,4.550000000000001,1,1
Pedro Porro,Spurs,DEF,5.5,3.29,1,1
Cameron Archer,Southampton,FWD,5.0,2.31,1,0
Dara O'Shea,Ipswich,DEF,4.1,1.9899999999999998,1,0
James Bree,Southampton,DEF,3.9,2.12,1,0
Mark Flekken,Brentford,GK,4.4,2.1,1,0
