name,team,predicted_cs_prob,opponent_name,was_home,fixture_difficulty
Lewis Hall,Newcastle,0.5,Ipswich,True,3.0
Emil Krafth,Newcastle,0.5,Ipswich,True,3.0
Kieran Trippier,Newcastle,0.5,Ipswich,True,3.0
Nick Pope,Newcastle,0.5,Ipswich,True,3.0
Fabian Schär,Newcastle,0.5,Ipswich,True,3.0
Dan Burn,Newcastle,0.5,Ipswich,True,3.0
Lloyd Kelly,Newcastle,0.5,Ipswich,True,3.0
Tino Livramento,Newcastle,0.5,Ipswich,True,3.0
Sven Botman,Newcastle,0.5,Ipswich,True,3.0
Martin Dúbravka,Newcastle,0.5,Ipswich,True,3.0
Nikola Milenković,Nott'm Forest,0.49,Brentford,True,2.05
Willy Boly,Nott'm Forest,0.49,Brentford,True,2.05
Matz Sels,Nott'm Forest,0.49,Brentford,True,2.05
Murillo Santiago Costa dos Santos,Nott'm Forest,0.48,Brentford,True,2.05
Felipe Rodrigues da Silva,Nott'm Forest,0.48,Brentford,True,2.05
Ola Aina,Nott'm Forest,0.48,Brentford,True,2.05
Neco Williams,Nott'm Forest,0.48,Brentford,True,2.05
Álex Moreno Lopera,Nott'm Forest,0.47,Brentford,True,2.05
Timothy Castagne,Fulham,0.45,Southampton,False,1.85
Kenny Tete,Fulham,0.45,Southampton,False,1.85
Ryan Sessegnon,Fulham,0.45,Southampton,False,1.85
Antonee Robinson,Fulham,0.45,Southampton,False,1.85
Joachim Andersen,Fulham,0.45,Southampton,False,1.85
Bernd Leno,Fulham,0.45,Southampton,False,1.85
Issa Diop,Fulham,0.45,Southampton,False,1.85
Jorge Cuenca Barreno,Fulham,0.45,Southampton,False,1.85
Calvin Bassey,Fulham,0.45,Southampton,False,1.85
Trevoh Chalobah,Chelsea,0.39,Everton,True,3.05
Axel Disasi,Chelsea,0.39,Everton,True,3.05
Reece James,Chelsea,0.39,Everton,True,3.05
Marc Cucurella Saseta,Chelsea,0.39,Everton,True,3.05
Josh Acheampong,Chelsea,0.39,Everton,True,3.05
Levi Colwill,Chelsea,0.39,Everton,True,3.05
Benoît Badiashile,Chelsea,0.39,Everton,True,3.05
Tosin Adarabioyo,Chelsea,0.39,Everton,True,3.05
Robert Sánchez,Chelsea,0.39,Everton,True,3.05
Wesley Fofana,Chelsea,0.39,Everton,True,3.05
Malo Gusto,Chelsea,0.39,Everton,True,3.05
Filip Jørgensen,Chelsea,0.39,Everton,True,3.05
Dean Huijsen,Bournemouth,0.38,Man Utd,True,2.2
Mark Travers,Bournemouth,0.38,Man Utd,True,2.2
Illia Zabarnyi,Bournemouth,0.38,Man Utd,True,2.2
Kepa Arrizabalaga,Bournemouth,0.38,Man Utd,True,2.2
Milos Kerkez,Bournemouth,0.38,Man Utd,True,2.2
Norberto Murara Neto,Bournemouth,0.38,Man Utd,True,2.2
James Hill,Bournemouth,0.37,Man Utd,True,2.2
Max Aarons,Bournemouth,0.37,Man Utd,True,2.2
Marcos Senesi,Bournemouth,0.37,Man Utd,True,2.2
Adam Smith,Bournemouth,0.37,Man Utd,True,2.2
Julián Araujo Zúñiga,Bournemouth,0.37,Man Utd,True,2.2
Trent Alexander-Arnold,Liverpool,0.34,Spurs,True,4.85
