name,team,predicted_cs_prob,opponent_name,was_home,fixture_difficulty
Manuel Akanji,Man City,0.39,Southampton,False,4.85
Nathan Aké,Man City,0.39,Southampton,False,4.85
Jahmai Simpson-Pusey,Man City,0.39,Southampton,False,4.85
Rico Lewis,Man City,0.39,Southampton,False,4.85
Ederson Santana de Moraes,Man City,0.39,Southampton,False,4.85
Kyle Walker,Man City,0.39,Southampton,False,4.85
Joško Gvardiol,Man City,0.39,Southampton,False,4.85
Rúben Gato Alves Dias,Man City,0.39,Southampton,False,4.85
Abdukodir Khusanov,Man City,0.39,Southampton,False,4.85
Stefan Ortega Moreno,Man City,0.39,Southampton,False,4.85
Issa Diop,Fulham,0.38,Everton,True,0.65
John Stones,Man City,0.38,Southampton,False,4.85
Ryan Sessegnon,Fulham,0.38,Everton,True,0.65
Jorge Cuenca Barreno,Fulham,0.37,Everton,True,0.65
Timothy Castagne,Fulham,0.37,Everton,True,0.65
Antonee Robinson,Fulham,0.37,Everton,True,0.65
Calvin Bassey,Fulham,0.37,Everton,True,0.65
Joachim Andersen,Fulham,0.37,Everton,True,0.65
Bernd Leno,Fulham,0.37,Everton,True,0.65
Kenny Tete,Fulham,0.37,Everton,True,0.65
Nikola Milenković,Nott'm Forest,0.36,Leicester,True,2.3
Matz Sels,Nott'm Forest,0.36,Leicester,True,2.3
Willy Boly,Nott'm Forest,0.36,Leicester,True,2.3
Neco Williams,Nott'm Forest,0.35,Leicester,True,2.3
Felipe Rodrigues da Silva,Nott'm Forest,0.35,Leicester,True,2.3
Murillo Santiago Costa dos Santos,Nott'm Forest,0.35,Leicester,True,2.3
Ola Aina,Nott'm Forest,0.35,Leicester,True,2.3
Álex Moreno Lopera,Nott'm Forest,0.34,Leicester,True,2.3
Emerson Palmieri dos Santos,West Ham,0.24,Man Utd,False,-0.4
Ollie Scarles,West Ham,0.24,Man Utd,False,-0.4
Jean-Clair Todibo,West Ham,0.24,Man Utd,False,-0.4
Vladimír Coufal,West Ham,0.24,Man Utd,False,-0.4
Aaron Cresswell,West Ham,0.23,Man Utd,False,-0.4
Alphonse Areola,West Ham,0.23,Man Utd,False,-0.4
Aaron Wan-Bissaka,West Ham,0.23,Man Utd,False,-0.4
Konstantinos Mavropanos,West Ham,0.23,Man Utd,False,-0.4
Łukasz Fabiański,West Ham,0.23,Man Utd,False,-0.4
Max Kilman,West Ham,0.23,Man Utd,False,-0.4
Nathaniel Clyne,Crystal Palace,0.2,Spurs,False,-0.25
Dean Henderson,Crystal Palace,0.2,Spurs,False,-0.25
Marc Guéhi,Crystal Palace,0.2,Spurs,False,-0.25
Daniel Muñoz,Crystal Palace,0.2,Spurs,False,-0.25
Maxence Lacroix,Crystal Palace,0.2,Spurs,False,-0.25
Chadi Riad Dnanou,Crystal Palace,0.2,Spurs,False,-0.25
Trevoh Chalobah,Crystal Palace,0.2,Spurs,False,-0.25
Chris Richards,Crystal Palace,0.2,Spurs,False,-0.25
Tyrick Mitchell,Crystal Palace,0.2,Spurs,False,-0.25
Joachim Andersen,Crystal Palace,0.2,Spurs,False,-0.25
Andrew Robertson,Liverpool,0.17,Arsenal,True,1.2
Joe Gomez,Liverpool,0.17,Arsenal,True,1.2
Trent Alexander-Arnold,Liverpool,0.17,Arsenal,True,1.2
Jarell Quansah,Liverpool,0.17,Arsenal,True,1.2
Conor Bradley,Liverpool,0.17,Arsenal,True,1.2
Ibrahima Konaté,Liverpool,0.17,Arsenal,True,1.2
Alisson Ramses Becker,Liverpool,0.17,Arsenal,True,1.2
Konstantinos Tsimikas,Liverpool,0.17,Arsenal,True,1.2
Caoimhin Kelleher,Liverpool,0.17,Arsenal,True,1.2
Virgil van Dijk,Liverpool,0.17,Arsenal,True,1.2
Milos Kerkez,Bournemouth,0.16,Aston Villa,True,1.85
Julián Araujo Zúñiga,Bournemouth,0.16,Aston Villa,True,1.85
James Hill,Bournemouth,0.16,Aston Villa,True,1.85
Kepa Arrizabalaga,Bournemouth,0.16,Aston Villa,True,1.85
Marcos Senesi,Bournemouth,0.16,Aston Villa,True,1.85
Dean Huijsen,Bournemouth,0.16,Aston Villa,True,1.85
Illia Zabarnyi,Bournemouth,0.16,Aston Villa,True,1.85
Kosta Nedeljković,Aston Villa,0.16,Bournemouth,False,1.4
