name,team,position,price,ExpPts,Squad,XI
Erling Haaland,Man City,FWD,14.8,5.9630471707975445,1,1
Mohamed Salah,Liverpool,MID,13.7,6.889600158937595,1,1
Omar Marmoush,Man City,FWD,0.0,5.177504511958064,1,1
Cole Palmer,Chelsea,MID,11.4,5.406978204931376,1,1
Bryan Mbeumo,Brentford,MID,7.8,5.209831988424957,1,1
Joško Gvardiol,Man City,DEF,6.0,3.6114070753711673,1,1
Bukayo Saka,Arsenal,MID,10.2,4.943190704555961,1,1
Marco Asensio,Aston Villa,MID,0.1,4.488454705179312,1,1
Matz Sels,Nott'm Forest,GK,4.9,2.7066511497001424,1,1
Trent Alexander-Arnold,Liverpool,DEF,7.2,3.3693157301287426,1,1
Pedro Porro,Spurs,DEF,5.5,3.1238584655255655,1,1
