name,team,position,opponent_name,was_home,fixture_difficulty,predicted_card_prob
Bruno Guimarães Rodriguez Moura,Newcastle,MID,Everton,True,1.1,0.35
Alexander Isak,Newcastle,FWD,Everton,True,1.1,0.35
Morgan Rogers,Aston Villa,MID,Man Utd,False,1.5,0.35
Jacob Murphy,Newcastle,MID,Everton,True,1.1,0.35
Marcus Rashford,Aston Villa,MID,Man Utd,False,1.5,0.35
Harvey Barnes,Newcastle,MID,Everton,True,1.1,0.35
Youri Tielemans,Aston Villa,MID,Man Utd,False,1.5,0.35
Marco Asensio,Aston Villa,MID,Man Utd,False,1.5,0.35
Ollie Watkins,Aston Villa,FWD,Man Utd,False,1.5,0.35
Cole Palmer,Chelsea,MID,Nott'm Forest,False,0.0,0.34
Joelinton Cássio Apolinário de Lira,Newcastle,MID,Everton,True,1.1,0.34
Anthony Gordon,Newcastle,MID,Everton,True,1.1,0.34
Sandro Tonali,Newcastle,MID,Everton,True,1.1,0.33
Mathys Tel,Spurs,MID,Brighton,True,-0.7,0.33
Fabian Schär,Newcastle,DEF,Everton,True,1.1,0.33
Ryan Christie,Bournemouth,MID,Leicester,True,1.5,0.33
Patrick Dorgu,Man Utd,DEF,Aston Villa,True,-2.5,0.33
Dejan Kulusevski,Spurs,MID,Brighton,True,-0.7,0.33
Enzo Fernández,Chelsea,MID,Nott'm Forest,False,0.0,0.33
Christian Nørgaard,Brentford,MID,Wolves,False,0.6,0.33
Mohamed Salah,Liverpool,MID,Crystal Palace,True,4.45,0.33
Carlos Alcaraz Durán,Everton,MID,Newcastle,False,-1.8,0.33
Jarrod Bowen,West Ham,MID,Ipswich,False,0.25,0.33
Antoine Semenyo,Bournemouth,MID,Leicester,True,1.5,0.33
Rayan Aït-Nouri,Wolves,DEF,Brentford,True,-3.4,0.33
Dango Ouattara,Bournemouth,MID,Leicester,True,1.5,0.33
Abdoulaye Doucouré,Everton,MID,Newcastle,False,-1.8,0.33
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,Leicester,True,1.5,0.33
Mitoma Kaoru,Brighton,MID,Spurs,False,-0.7,0.33
Leon Bailey,Aston Villa,MID,Man Utd,False,1.5,0.33
Alejandro Garnacho,Man Utd,MID,Aston Villa,True,-2.5,0.33
Justin Kluivert,Bournemouth,MID,Leicester,True,1.5,0.33
Brennan Johnson,Spurs,MID,Brighton,True,-0.7,0.33
Diogo Dalot Teixeira,Man Utd,DEF,Aston Villa,True,-2.5,0.33
Marc Cucurella Saseta,Chelsea,DEF,Nott'm Forest,False,0.0,0.33
Son Heung-min,Spurs,MID,Brighton,True,-0.7,0.33
Bruno Borges Fernandes,Man Utd,MID,Aston Villa,True,-2.5,0.33
Nico González,Man City,MID,Fulham,False,1.0,0.33
Bryan Mbeumo,Brentford,MID,Wolves,False,0.6,0.33
James Tarkowski,Everton,DEF,Newcastle,False,-1.8,0.32
Manuel Ugarte,Man Utd,MID,Aston Villa,True,-2.5,0.32
Mikkel Damsgaard,Brentford,MID,Wolves,False,0.6,0.32
Jan Paul van Hecke,Brighton,DEF,Spurs,False,-0.7,0.32
Erling Haaland,Man City,FWD,Fulham,False,1.0,0.32
Martin Ødegaard,Arsenal,MID,Southampton,False,5.9,0.32
Jørgen Strand Larsen,Wolves,FWD,Brentford,True,-3.4,0.32
James Justin,Leicester,DEF,Bournemouth,False,-2.9,0.32
Luis Díaz,Liverpool,MID,Crystal Palace,True,4.45,0.32
Noussair Mazraoui,Man Utd,DEF,Aston Villa,True,-2.5,0.32
Jack Harrison,Everton,MID,Newcastle,False,-1.8,0.32
Amad Diallo,Man Utd,MID,Aston Villa,True,-2.5,0.32
Matheus Santos Carneiro Da Cunha,Wolves,FWD,Brentford,True,-3.4,0.32
Nathan Collins,Brentford,DEF,Wolves,False,0.6,0.32
