name,team,predicted_cs_prob,opponent_name,was_home,fixture_difficulty
Kieran Tierney,Arsenal,0.5,Southampton,False,5.2
Trent Alexander-Arnold,Liverpool,0.5,Crystal Palace,True,4.55
Gabriel dos Santos Magalhães,Arsenal,0.5,Southampton,False,5.2
William Saliba,Arsenal,0.5,Southampton,False,5.2
David Raya Martin,Arsenal,0.5,Southampton,False,5.2
Andrew Robertson,Liverpool,0.5,Crystal Palace,True,4.55
Virgil van Dijk,Liverpool,0.5,Crystal Palace,True,4.55
Oleksandr Zinchenko,Arsenal,0.5,Southampton,False,5.2
Dan Burn,Newcastle,0.5,Everton,True,2.1
Alisson Ramses Becker,Liverpool,0.5,Crystal Palace,True,4.55
Tino Livramento,Newcastle,0.5,Everton,True,2.1
Lewis Hall,Newcastle,0.5,Everton,True,2.1
Benjamin White,Arsenal,0.5,Southampton,False,5.2
Emil Krafth,Newcastle,0.5,Everton,True,2.1
Ibrahima Konaté,Liverpool,0.5,Crystal Palace,True,4.55
Jurriën Timber,Arsenal,0.5,Southampton,False,5.2
Lloyd Kelly,Newcastle,0.5,Everton,True,2.1
Fabian Schär,Newcastle,0.5,Everton,True,2.1
Caoimhin Kelleher,Liverpool,0.5,Crystal Palace,True,4.55
Riccardo Calafiori,Arsenal,0.5,Southampton,False,5.2
Kieran Trippier,Newcastle,0.5,Everton,True,2.1
Konstantinos Tsimikas,Liverpool,0.5,Crystal Palace,True,4.55
Conor Bradley,Liverpool,0.5,Crystal Palace,True,4.55
Joe Gomez,Liverpool,0.5,Crystal Palace,True,4.55
Jarell Quansah,Liverpool,0.5,Crystal Palace,True,4.55
Jakub Kiwior,Arsenal,0.5,Southampton,False,5.2
Martin Dúbravka,Newcastle,0.5,Everton,True,2.1
Sven Botman,Newcastle,0.5,Everton,True,2.1
Nick Pope,Newcastle,0.5,Everton,True,2.1
Diego Carlos Santos Silva,Aston Villa,0.46,Man Utd,False,2.25
Robin Olsen,Aston Villa,0.46,Man Utd,False,2.25
Emiliano Martínez Romero,Aston Villa,0.46,Man Utd,False,2.25
Pau Torres,Aston Villa,0.46,Man Utd,False,2.25
Ezri Konsa Ngoyo,Aston Villa,0.46,Man Utd,False,2.25
Matty Cash,Aston Villa,0.45,Man Utd,False,2.25
Lucas Digne,Aston Villa,0.45,Man Utd,False,2.25
Kosta Nedeljković,Aston Villa,0.45,Man Utd,False,2.25
Axel Disasi,Aston Villa,0.45,Man Utd,False,2.25
Andrés García,Aston Villa,0.45,Man Utd,False,2.25
Lamare Bogarde,Aston Villa,0.45,Man Utd,False,2.25
Tyrone Mings,Aston Villa,0.45,Man Utd,False,2.25
Ian Maatsen,Aston Villa,0.45,Man Utd,False,2.25
Álex Moreno Lopera,Nott'm Forest,0.18,Chelsea,True,0.05
Willy Boly,Nott'm Forest,0.18,Chelsea,True,0.05
Ola Aina,Nott'm Forest,0.18,Chelsea,True,0.05
Nikola Milenković,Nott'm Forest,0.18,Chelsea,True,0.05
Murillo Santiago Costa dos Santos,Nott'm Forest,0.18,Chelsea,True,0.05
Neco Williams,Nott'm Forest,0.18,Chelsea,True,0.05
Matz Sels,Nott'm Forest,0.18,Chelsea,True,0.05
Felipe Rodrigues da Silva,Nott'm Forest,0.18,Chelsea,True,0.05
Lisandro Martínez,Man Utd,0.17,Aston Villa,True,-0.45
Jonny Evans,Man Utd,0.17,Aston Villa,True,-0.45
Leny Yoro,Man Utd,0.17,Aston Villa,True,-0.45
Matthijs de Ligt,Man Utd,0.17,Aston Villa,True,-0.45
Patrick Dorgu,Man Utd,0.17,Aston Villa,True,-0.45
