name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Mohamed Salah,Liverpool,MID,38,Crystal Palace,True,4.45,0.93,0.9563557622932624,1.4013557622932624,0.9336373369873884,0.12,7,1340,1120
Erling Haaland,Man City,FWD,38,Fulham,False,1.0,0.68,0.8597145511480262,0.9597145511480262,0.6774197214041118,0.2,9,1150,1150
Bukayo Saka,Arsenal,MID,38,Southampton,False,5.9,0.58,0.3506410089566435,0.8506410089566435,0.5756727473185861,0.11366666666666667,17,1370,1060
Kai Havertz,Arsenal,FWD,38,Southampton,False,5.9,0.58,0.3154559015545859,0.8154559015545859,0.5836515991683756,0.2,17,1370,1060
Alexander Isak,Newcastle,FWD,38,Everton,True,1.1,0.53,0.6241030896395242,0.7341030896395242,0.5307722714235855,0.2,8,1140,1100
Luis Díaz,Liverpool,MID,38,Crystal Palace,True,4.45,0.46,0.2349439306433073,0.6799439306433073,0.46471964641491753,0.12,7,1340,1120
Gabriel Martinelli Silva,Arsenal,MID,38,Southampton,False,5.9,0.44,0.14743355665807467,0.6474335566580747,0.4435879033245163,0.12,17,1370,1060
Marco Asensio,Aston Villa,MID,38,Man Utd,False,1.5,0.43,0.47866012009200326,0.6286601200920032,0.43138516955656986,0.112,14,1160,1110
Ollie Watkins,Aston Villa,FWD,38,Man Utd,False,1.5,0.42,0.4197643389290448,0.5697643389290448,0.4239520834617738,0.2,14,1160,1110
Cody Gakpo,Liverpool,FWD,38,Crystal Palace,True,4.45,0.41,0.10334473328958627,0.5483447332895862,0.41002933979612577,0.1710344827586207,7,1340,1120
Leandro Trossard,Arsenal,MID,38,Southampton,False,5.9,0.4,0.0768193707232366,0.5768193707232366,0.3976886824668716,0.12,17,1370,1060
Omar Marmoush,Man City,FWD,38,Fulham,False,1.0,0.37,0.3941701953430817,0.49417019534308165,0.3748158901308978,0.2,9,1150,1150
Martin Ødegaard,Arsenal,MID,38,Southampton,False,5.9,0.37,0.02736229573729574,0.5273622957372958,0.36554158372601003,0.12,17,1370,1060
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,38,Leicester,True,1.5,0.37,0.3395940587190587,0.4895940587190587,0.37184140132528287,0.2,11,1130,1090
Mikel Merino,Arsenal,MID,38,Southampton,False,5.9,0.36,0.01645391414141414,0.5164539141414142,0.358451135688687,0.09206896551724138,17,1370,1060
Thomas Partey,Arsenal,MID,38,Southampton,False,5.9,0.36,0.011599747474747478,0.5115997474747475,0.35529592735535365,0.12,17,1370,1060
Declan Rice,Arsenal,MID,38,Southampton,False,5.9,0.36,0.019137191512191513,0.5191371915121915,0.36019526597969226,0.12,17,1370,1060
Cole Palmer,Chelsea,MID,38,Nott'm Forest,False,0.0,0.36,0.5211686970623117,0.5211686970623117,0.3615157445872704,0.12,16,1150,1190
Myles Lewis-Skelly,Arsenal,MID,38,Southampton,False,5.9,0.35,0.00011111111111111112,0.5001111111111111,0.34782831371899,0.061793103448275856,17,1370,1060
Dominik Szoboszlai,Liverpool,MID,38,Crystal Palace,True,4.45,0.35,0.05841956485706483,0.5034195648570647,0.3499788086538599,0.12,7,1340,1120
Darwin Núñez Ribeiro,Liverpool,FWD,38,Crystal Palace,True,4.45,0.35,0.01841635101010101,0.463416351010101,0.35482589131446035,0.11264367816091957,7,1340,1120
Diogo Teixeira da Silva,Liverpool,MID,38,Crystal Palace,True,4.45,0.35,0.0642683726713899,0.5092683726713898,0.35378053373317114,0.07385714285714286,7,1340,1120
William Saliba,Arsenal,DEF,38,Southampton,False,5.9,0.34,0.007743922743922743,0.5077439227439228,0.33662802064109515,0.06,17,1370,1060
Gabriel dos Santos Magalhães,Arsenal,DEF,38,Southampton,False,5.9,0.34,0.009407510592855418,0.5094075105928554,0.33770935274290137,0.06,17,1370,1060
Riccardo Calafiori,Arsenal,DEF,38,Southampton,False,5.9,0.34,0.007638888888888889,0.5076388888888889,0.3365597486353231,0.03369230769230769,17,1370,1060
Trent Alexander-Arnold,Liverpool,DEF,38,Crystal Palace,True,4.45,0.33,0.04759828366078366,0.4925982836607836,0.3267833552370547,0.06,7,1340,1120
Benjamin White,Arsenal,DEF,38,Southampton,False,5.9,0.33,0.00041666666666666664,0.5004166666666666,0.3318653041908787,0.03179166666666666,17,1370,1060
Jurriën Timber,Arsenal,DEF,38,Southampton,False,5.9,0.33,0.0017938311688311687,0.5017938311688311,0.3327604611172856,0.06,17,1370,1060
Alexis Mac Allister,Liverpool,MID,38,Crystal Palace,True,4.45,0.32,0.009548160173160174,0.45454816017316013,0.31821239560932185,0.12,7,1340,1120
Curtis Jones,Liverpool,MID,38,Crystal Palace,True,4.45,0.32,0.009878156565656566,0.4548781565656565,0.3184268932644445,0.09373333333333332,7,1340,1120
David Raya Martin,Arsenal,GK,38,Southampton,False,5.9,0.32,0.0,0.5,0.325,0.01,17,1370,1060
Yoane Wissa,Brentford,FWD,38,Wolves,False,0.6,0.31,0.3288210567210568,0.38882105672105677,0.3063389500265816,0.2,20,1080,1120
Ryan Gravenberch,Liverpool,MID,38,Crystal Palace,True,4.45,0.31,0.003009615384615385,0.4480096153846153,0.3139623414967677,0.12,7,1340,1120
Antoine Semenyo,Bournemouth,MID,38,Leicester,True,1.5,0.31,0.28468487509086554,0.43468487509086556,0.3053012603058304,0.12,11,1130,1090
Virgil van Dijk,Liverpool,DEF,38,Crystal Palace,True,4.45,0.3,0.007535875888817065,0.452535875888817,0.3007427901852764,0.06,7,1340,1120
Andrew Robertson,Liverpool,DEF,38,Crystal Palace,True,4.45,0.3,0.0007142857142857143,0.4457142857142857,0.29630875657183103,0.06,7,1340,1120
Ibrahima Konaté,Liverpool,DEF,38,Crystal Palace,True,4.45,0.3,0.0030277777777777777,0.44802777777777775,0.29781252641310085,0.06,7,1340,1120
Justin Kluivert,Bournemouth,MID,38,Leicester,True,1.5,0.3,0.28225389048809313,0.43225389048809315,0.3037211203140283,0.12,11,1130,1090
Caoimhin Kelleher,Liverpool,GK,38,Crystal Palace,True,4.45,0.29,0.00041666666666666664,0.4454166666666666,0.28952083333333334,0.006818181818181818,7,1340,1120
Alisson Ramses Becker,Liverpool,GK,38,Crystal Palace,True,4.45,0.29,0.0016666666666666666,0.4466666666666666,0.2903333333333333,0.01,7,1340,1120
Nicolas Jackson,Chelsea,FWD,38,Nott'm Forest,False,0.0,0.28,0.34317765711670495,0.34317765711670495,0.27667074028375294,0.2,16,1150,1190
Bryan Mbeumo,Brentford,MID,38,Wolves,False,0.6,0.25,0.29106525240411857,0.3510652524041185,0.2509485055594448,0.12,20,1080,1120
Jarrod Bowen,West Ham,MID,38,Ipswich,False,0.25,0.25,0.3307084934573631,0.3557084934573631,0.2539666122440538,0.12,10,1080,1080
Chris Wood,Nott'm Forest,FWD,38,Chelsea,True,-1.6,0.25,0.4623384064414835,0.30233840644148346,0.250125227344859,0.2,6,1200,1320
Liam Delap,Ipswich,FWD,38,West Ham,True,-0.75,0.2,0.03711273448773449,0.0,0.05360526315789473,0.2,19,1070,1120
Jamie Vardy,Leicester,FWD,38,Bournemouth,False,-2.9,0.2,0.03748033910533911,0.0,0.05360526315789473,0.2,3,1080,1260
Marcus Rashford,Aston Villa,MID,38,Man Utd,False,1.5,0.2,0.12303641245343618,0.2730364124534362,0.2002297595915013,0.08925,14,1160,1110
Dominic Calvert-Lewin,Everton,FWD,38,Newcastle,False,-1.8,0.2,0.05312541625041625,0.0,0.05360526315789473,0.2,15,1140,1250
Iliman Ndiaye,Everton,FWD,38,Newcastle,False,-1.8,0.2,0.016726190476190478,0.0,0.05360526315789473,0.2,15,1140,1250
Matheus Santos Carneiro Da Cunha,Wolves,FWD,38,Brentford,True,-3.4,0.2,0.48977906818270595,0.14977906818270598,0.15096165747665363,0.2,4,1070,1310
Noni Madueke,Chelsea,MID,38,Nott'm Forest,False,0.0,0.2,0.2735377139415452,0.2735377139415452,0.20055560555877217,0.11399999999999999,16,1150,1190
Jørgen Strand Larsen,Wolves,FWD,38,Brentford,True,-3.4,0.2,0.23432098457098452,0.0,0.05360526315789473,0.2,4,1070,1310
João Pedro Junqueira de Jesus,Brighton,FWD,38,Spurs,False,-0.7,0.2,0.1445798784548785,0.07457987845487848,0.10208218415356575,0.19645833333333335,18,1140,1210
Raúl Jiménez,Fulham,FWD,38,Man City,True,-3.0,0.2,0.28391667360417344,0.0,0.05360526315789473,0.2,13,1150,1350
Jean-Philippe Mateta,Crystal Palace,FWD,38,Liverpool,False,-4.55,0.2,0.16068587662337663,0.0,0.05360526315789473,0.2,12,1140,1370
Dominic Solanke-Mitchell,Spurs,FWD,38,Brighton,True,-0.7,0.2,0.09910005272505272,0.029100052725052714,0.072520297429179,0.2,5,1090,1160
Odsonne Edouard,Crystal Palace,FWD,38,Liverpool,False,-4.55,0.19,0.025749007936507935,0.0,0.05360526315789473,0.19166666666666668,12,1140,1370
Anthony Gordon,Newcastle,MID,38,Everton,True,1.1,0.18,0.12459723056305073,0.2345972305630507,0.17524429136275074,0.12,8,1140,1100
Danny Welbeck,Brighton,FWD,38,Spurs,False,-0.7,0.18,0.047381604506604516,0.0,0.05360526315789473,0.18466666666666667,18,1140,1210
Adam Armstrong,Southampton,FWD,38,Arsenal,True,-5.3,0.18,0.01854867354867355,0.0,0.05360526315789473,0.18057971014492755,1,1050,1300
Brennan Johnson,Spurs,MID,38,Brighton,True,-0.7,0.18,0.30899613091157213,0.23899613091157212,0.17810357658928966,0.12,5,1090,1160
Dango Ouattara,Bournemouth,MID,38,Leicester,True,1.5,0.17,0.07317673330970338,0.2231767333097034,0.16782096814807498,0.1104375,11,1130,1090
