name,team,GW,predicted_assists
Sávio 'Savinho' Moreira de Oliveira,Man City,31,0.5100482914901602
Kevin De Bruyne,Man City,31,0.49996934391792386
Curtis Jones,Liverpool,31,0.40607730028649536
Mohamed Salah,Liverpool,31,0.39854076572838054
Diogo Teixeira da Silva,Liverpool,31,0.38948496326153276
Harry Wilson,Fulham,31,0.36037799267314996
Antoine Semenyo,Bournemouth,31,0.35218446657442926
Dango Ouattara,Bournemouth,31,0.34829981825832346
Jarrod Bowen,West Ham,31,0.3380540980404449
Jacob Murphy,Newcastle,31,0.32845088425509356
Anthony Gordon,Newcastle,31,0.31915676150960764
Bruno Guimarães Rodriguez Moura,Newcastle,31,0.31778480881797716
Bruno Borges Fernandes,Man Utd,31,0.3161455113474094
Marcus Rashford,Man Utd,31,0.3028374184831034
Harvey Barnes,Newcastle,31,0.2918846238300933
Dejan Kulusevski,Spurs,31,0.28837854523011586
Brennan Johnson,Spurs,31,0.2831498851724051
Ismaïla Sarr,Crystal Palace,31,0.27765046198344306
Mikkel Damsgaard,Brentford,31,0.26916084864198336
Anthony Elanga,Nott'm Forest,31,0.26140618253466164
Morgan Rogers,Aston Villa,31,0.26042740907059114
Kevin Schade,Brentford,31,0.2580731802548113
Nicolas Jackson,Chelsea,31,0.25070065971492833
Dominic Solanke-Mitchell,Spurs,31,0.2356546856559307
Yoane Wissa,Brentford,31,0.21391177151306323
Ollie Watkins,Aston Villa,31,0.2132624107811613
Trent Alexander-Arnold,Liverpool,31,0.19364453377920995
Jamie Vardy,Leicester,31,0.19345247478010832
Bryan Mbeumo,Brentford,31,0.19067887512580992
Liam Delap,Ipswich,31,0.1860818538771656
Milos Kerkez,Bournemouth,31,0.18492951874751182
João Pedro Junqueira de Jesus,Brighton,31,0.18316148904286453
Antonee Robinson,Fulham,31,0.18163073741412805
Gabriel dos Santos Magalhães,Arsenal,31,0.178374317838555
Matheus Santos Carneiro Da Cunha,Wolves,31,0.17148384001099412
Lewis Hall,Newcastle,31,0.16081963488321205
Aaron Wan-Bissaka,West Ham,31,0.15799623858475428
