name,team,position,GW,predicted_goals,minutes,raw_predicted_goals,blended_prediction,min_probability
Mohamed Salah,Liverpool,MID,31,0.62,88.15,1.1877145657485544,0.6205819565846563,0.12
Erling Haaland,Man City,FWD,31,0.57,89.61904761904762,1.009062408375381,0.5663109737139389,0.2
Cole Palmer,Chelsea,MID,31,0.42,87.52380952380952,0.7835384065948401,0.41849387700779916,0.12
Alexander Isak,Newcastle,FWD,31,0.39,73.42857142857143,0.6569279507503383,0.39024374490141756,0.2
Nicolas Jackson,Chelsea,FWD,31,0.29,73.04761904761905,0.4485091076532592,0.286034323352878,0.2
Ollie Watkins,Aston Villa,FWD,31,0.26,69.04761904761905,0.39311540967597003,0.25833747436423343,0.2
Raúl Jiménez,Fulham,FWD,31,0.26,62.476190476190474,0.39009567342666707,0.25682760623958195,0.2
Chris Wood,Nott'm Forest,FWD,31,0.25,79.0952380952381,0.38587703732420764,0.25471828818835224,0.2
Matheus Santos Carneiro Da Cunha,Wolves,FWD,31,0.24,76.42857142857143,0.3652474005269069,0.24440346978970184,0.2
Kai Havertz,Arsenal,FWD,31,0.24,74.76190476190476,0.3648185656245832,0.24418905233854,0.2
Yoane Wissa,Brentford,FWD,31,0.22,66.23809523809524,0.31162690936908727,0.21759322421079202,0.2
Dominic Solanke-Mitchell,Spurs,FWD,31,0.22,76.0952380952381,0.3118849071047405,0.21772222307861863,0.2
Brennan Johnson,Spurs,MID,31,0.21,70.95238095238095,0.3679094471361111,0.21067939727843468,0.12
Dominic Calvert-Lewin,Everton,FWD,31,0.2,73.45,0.05526108246328834,0.08941031075789257,0.2
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,31,0.2,68.4,0.17008076238836647,0.14682015072043164,0.2
Jamie Vardy,Leicester,FWD,31,0.2,73.85714285714286,0.06177562715062713,0.09266758310156196,0.2
Liam Delap,Ipswich,FWD,31,0.2,72.61904761904762,0.043418663852487376,0.08348910145249208,0.2
Jean-Philippe Mateta,Crystal Palace,FWD,31,0.2,75.71428571428571,0.03789772441610677,0.08072863173430178,0.2
Jørgen Strand Larsen,Wolves,FWD,31,0.2,81.61904761904762,0.13752997494052013,0.13054475699650847,0.2
Iliman Ndiaye,Everton,FWD,31,0.2,80.15,0.010220959595959596,0.0668902493242282,0.2
Odsonne Edouard,Crystal Palace,FWD,31,0.19,57.5,0.002777777777777778,0.06316865841513729,0.19166666666666668
Danny Welbeck,Brighton,FWD,31,0.18,53.476190476190474,0.055986235986235956,0.08977288751936638,0.17825396825396825
Luis Díaz,Liverpool,MID,31,0.18,59.3,0.30708876375884353,0.1802690555898009,0.11859999999999998
João Pedro Junqueira de Jesus,Brighton,FWD,31,0.18,53.095238095238095,0.049863442113442104,0.08671149058296945,0.176984126984127
Noni Madueke,Chelsea,MID,31,0.18,56.95238095238095,0.30453391310997363,0.17899163026536594,0.1139047619047619
Cody Gakpo,Liverpool,FWD,31,0.18,53.55,0.17545144174735378,0.14950549039992528,0.1785
Adam Armstrong,Southampton,FWD,31,0.18,53.80952380952381,0.0030000000000000005,0.06327976952624839,0.1793650793650794
Bryan Mbeumo,Brentford,MID,31,0.17,89.76190476190476,0.2947130213981801,0.17408118440946918,0.12
James Maddison,Spurs,MID,31,0.16,57.285714285714285,0.27365175092040145,0.16355054917057985,0.11457142857142856
Antoine Semenyo,Bournemouth,MID,31,0.16,83.14285714285714,0.2726260253860928,0.16303768640342553,0.12
Rasmus Højlund,Man Utd,FWD,31,0.16,48.714285714285715,0.0,0.0617797695262484,0.1623809523809524
Bukayo Saka,Arsenal,MID,31,0.15,60.38095238095238,0.25651012214583935,0.1549797347832988,0.12
Cameron Archer,Southampton,FWD,31,0.15,45.19047619047619,0.006082251082251081,0.06482089506737394,0.15063492063492065
Justin Kluivert,Bournemouth,MID,31,0.14,60.04761904761905,0.22998544291965348,0.14171739517020585,0.12
Michail Antonio,West Ham,FWD,31,0.13,39.714285714285715,0.0,0.0617797695262484,0.13238095238095238
Jarrod Bowen,West Ham,MID,31,0.12,78.85714285714286,0.154394230661839,0.10392178904129862,0.12
Morgan Rogers,Aston Villa,MID,31,0.12,78.52380952380952,0.09670805187940817,0.07507869965008321,0.12
Bruno Borges Fernandes,Man Utd,MID,31,0.12,78.80952380952381,0.19249631311334597,0.12297283026705211,0.12
Mateo Kovačić,Man City,MID,31,0.12,61.523809523809526,0.003922619047619047,0.028685983234188642,0.12
Ismaïla Sarr,Crystal Palace,MID,31,0.12,64.76190476190476,0.1386991995346426,0.09607427347770042,0.12
Anthony Gordon,Newcastle,MID,31,0.12,75.61904761904762,0.17698660178494272,0.11521797460285048,0.12
Mario Lemina,Wolves,MID,31,0.12,64.9047619047619,0.0014285714285714286,0.027438959424664833,0.12
Orel Mangala,Everton,MID,31,0.12,63.35294117647059,0.0,0.026724673710379118,0.12
Tomáš Souček,West Ham,MID,31,0.12,68.23809523809524,0.027705139372822297,0.040577243396790266,0.12
Ryan Christie,Bournemouth,MID,31,0.12,71.0,0.010480699855699856,0.03196502363822905,0.12
Joshua Zirkzee,Man Utd,FWD,31,0.12,34.95238095238095,0.015877220002220003,0.0697183795273584,0.1165079365079365
Tyler Dibling,Southampton,MID,31,0.12,58.333333333333336,0.0022727272727272726,0.027861037346742754,0.11666666666666665
Ilkay Gündogan,Man City,MID,31,0.12,57.9,0.005059523809523809,0.029254435615141024,0.11579999999999999
Ryan Yates,Nott'm Forest,MID,31,0.12,66.61904761904762,0.001,0.027224673710379118,0.12
Amad Diallo,Man Utd,MID,31,0.12,62.904761904761905,0.16590013062455194,0.1096747390226551,0.12
Morgan Gibbs-White,Nott'm Forest,MID,31,0.12,63.80952380952381,0.1077301430499157,0.08058974523533696,0.12
Moisés Caicedo Corozo,Chelsea,MID,31,0.12,88.33333333333333,0.0,0.026724673710379118,0.12
Carlos Baleba,Brighton,MID,31,0.12,63.80952380952381,0.0,0.026724673710379118,0.12
Callum Hudson-Odoi,Nott'm Forest,MID,31,0.12,70.85714285714286,0.01689702634110529,0.03517318688093176,0.12
Harry Winks,Leicester,MID,31,0.12,57.76190476190476,0.0,0.026724673710379118,0.11552380952380951
Eberechi Eze,Crystal Palace,MID,31,0.12,67.38095238095238,0.08704719108987095,0.07024826925531459,0.12
Darwin Núñez Ribeiro,Liverpool,FWD,31,0.12,37.45,0.01948205266955267,0.07152079586102474,0.12483333333333335
Mateus Gonçalo Espanha Fernandes,Southampton,MID,31,0.12,73.5,0.007284798534798535,0.030367072977778384,0.12
Dominik Szoboszlai,Liverpool,MID,31,0.12,60.85,0.024155235967735972,0.03880229169424711,0.12
Keane Lewis-Potter,Brentford,MID,31,0.12,78.42857142857143,0.009036935286935287,0.03124314135384676,0.12
João Victor Gomes da Silva,Wolves,MID,31,0.12,80.61904761904762,0.0011111111111111111,0.027280229265934673,0.12
Dejan Kulusevski,Spurs,MID,31,0.12,79.9047619047619,0.11028857369541034,0.08186896055808429,0.12
Mohammed Kudus,West Ham,MID,31,0.12,61.57142857142857,0.014488275613275616,0.033968811517016924,0.12
Enzo Fernández,Chelsea,MID,31,0.12,71.76190476190476,0.05813982799945836,0.0557945877101083,0.12
Vitaly Janelt,Brentford,MID,31,0.12,71.28571428571429,0.0011111111111111111,0.027280229265934673,0.12
Alexis Mac Allister,Liverpool,MID,31,0.12,70.55,0.01437824675324675,0.03391379708700249,0.12
Thomas Partey,Arsenal,MID,31,0.12,75.28571428571429,0.004125,0.028787173710379116,0.12
Mitoma Kaoru,Brighton,MID,31,0.12,79.14285714285714,0.10911197252017098,0.0812806599704646,0.12
