name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Mohamed Salah,Liverpool,MID,31,Fulham,False,4.1,0.81,1.1513696168907728,1.5613696168907727,0.8074094821557655,0.12,9,1350,1150
Erling Haaland,Man City,FWD,31,Man Utd,False,1.75,0.64,0.9842983018443551,1.159298301844355,0.6414289204484259,0.2,14,1150,1110
Alexander Isak,Newcastle,FWD,31,Leicester,False,2.1,0.53,0.7286408644460118,0.9386408644460118,0.5311002017492543,0.2,11,1150,1090
Cole Palmer,Chelsea,MID,31,Brentford,False,1.65,0.5,0.7732460397655927,0.9382460397655927,0.4958476935931755,0.12,4,1150,1120
Kai Havertz,Arsenal,FWD,31,Everton,False,5.4,0.5,0.374833445965799,0.8748334459657989,0.4991964925091479,0.2,8,1370,1070
Bukayo Saka,Arsenal,MID,31,Everton,False,5.4,0.42,0.2905211094160399,0.7905211094160399,0.4219852284183991,0.12,8,1370,1070
Nicolas Jackson,Chelsea,FWD,31,Brentford,False,1.65,0.39,0.4936894951453775,0.6586894951453776,0.3911245170989372,0.2,4,1150,1120
Luis Díaz,Liverpool,MID,31,Fulham,False,4.1,0.38,0.3030528713417647,0.7130528713417645,0.3832511093812614,0.11859999999999998,9,1350,1150
Chris Wood,Nott'm Forest,FWD,31,Aston Villa,False,2.2,0.38,0.415913808199025,0.635913808199025,0.3797366736257609,0.2,2,1250,1140
Gabriel Martinelli Silva,Arsenal,MID,31,Everton,False,5.4,0.37,0.18681403376617728,0.6868140337661772,0.37013169059346773,0.1138095238095238,8,1370,1070
Cody Gakpo,Liverpool,FWD,31,Fulham,False,4.1,0.37,0.19871810447616897,0.6087181044761689,0.3661388217643329,0.1785,9,1350,1150
Gabriel Fernando de Jesus,Arsenal,FWD,31,Everton,False,5.4,0.33,0.03331597895568484,0.5333159789556848,0.32843775900409083,0.09523809523809525,8,1370,1070
Eddie Nketiah,Arsenal,FWD,31,Everton,False,5.4,0.31,0.0011805555555555556,0.5011805555555555,0.3123700473040262,0.04000000000000001,8,1370,1070
Leandro Trossard,Arsenal,MID,31,Everton,False,5.4,0.31,0.0759462929543575,0.5759462929543575,0.3146978201875579,0.11314285714285714,8,1370,1070
Nathan Butler-Oyedeji,Arsenal,FWD,31,Everton,False,5.4,0.31,0.000625,0.500625,0.3120922695262484,0.04000000000000001,8,1370,1070
Martin Ødegaard,Arsenal,MID,31,Everton,False,5.4,0.3,0.04742992056962645,0.5474299205696265,0.30043963399519236,0.10552380952380952,8,1370,1070
Declan Rice,Arsenal,MID,31,Everton,False,5.4,0.29,0.022817460317460316,0.5228174603174603,0.2881334038691093,0.12,8,1370,1070
Mikel Merino,Arsenal,MID,31,Everton,False,5.4,0.29,0.02628905816405816,0.5262890581640581,0.2898692027924082,0.06978947368421051,8,1370,1070
Ismeal Kabia,Arsenal,MID,31,Everton,False,5.4,0.28,0.0,0.5,0.2767246737103791,0.024,8,1370,1070
Thomas Partey,Arsenal,MID,31,Everton,False,5.4,0.28,0.007156862745098038,0.5071568627450981,0.28030310508292816,0.12,8,1370,1070
Darwin Núñez Ribeiro,Liverpool,FWD,31,Fulham,False,4.1,0.28,0.03168275392907746,0.4416827539290774,0.2826211464907871,0.12483333333333335,9,1350,1150
Gabriel dos Santos Magalhães,Arsenal,DEF,31,Everton,False,5.4,0.28,0.04876821278137066,0.5487682127813707,0.28173391465655667,0.06,8,1370,1070
Reiss Nelson,Arsenal,MID,31,Everton,False,5.4,0.28,0.0011111111111111111,0.5011111111111111,0.27728022926593465,0.024,8,1370,1070
Raheem Sterling,Arsenal,MID,31,Everton,False,5.4,0.28,0.0,0.5,0.2767246737103791,0.024,8,1370,1070
Jorge Luiz Frello Filho,Arsenal,MID,31,Everton,False,5.4,0.28,0.0,0.5,0.2767246737103791,0.04342857142857143,8,1370,1070
Myles Lewis-Skelly,Arsenal,MID,31,Everton,False,5.4,0.28,0.0,0.5,0.2767246737103791,0.03123809523809524,8,1370,1070
Salah-Eddine Oulad M'hand,Arsenal,MID,31,Everton,False,5.4,0.28,0.0,0.5,0.2767246737103791,0.024,8,1370,1070
Fábio Ferreira Vieira,Arsenal,MID,31,Everton,False,5.4,0.28,0.0,0.5,0.2767246737103791,0.024,8,1370,1070
Ethan Nwaneri,Arsenal,MID,31,Everton,False,5.4,0.28,0.0,0.5,0.2767246737103791,0.024,8,1370,1070
Jayden Danns,Liverpool,FWD,31,Fulham,False,4.1,0.27,0.0,0.4099999999999999,0.2667797695262484,0.04000000000000001,9,1350,1150
William Saliba,Arsenal,DEF,31,Everton,False,5.4,0.27,0.023031491169649067,0.5230314911696491,0.2688655538506959,0.06,8,1370,1070
Diogo Teixeira da Silva,Liverpool,MID,31,Fulham,False,4.1,0.27,0.085753663003663,0.4957536630036629,0.27460150521221055,0.0622,9,1350,1150
Antoine Semenyo,Bournemouth,MID,31,West Ham,False,1.8,0.26,0.295320505291981,0.47532050529198094,0.26438492635636957,0.12,19,1170,1110
David Raya Martin,Arsenal,GK,31,Everton,False,5.4,0.26,0.016993525480367585,0.5169935254803676,0.2584967627401838,0.01,8,1370,1070
Jakub Kiwior,Arsenal,DEF,31,Everton,False,5.4,0.26,0.0020535714285714285,0.5020535714285714,0.25837659398015705,0.015380952380952382,8,1370,1070
Benjamin White,Arsenal,DEF,31,Everton,False,5.4,0.26,0.0008333333333333333,0.5008333333333334,0.257766474932538,0.03304761904761905,8,1370,1070
Noni Madueke,Chelsea,MID,31,Brentford,False,1.65,0.26,0.2967938811596901,0.4617938811596901,0.2576216142902242,0.1139047619047619,4,1150,1120
Tomiyasu Takehiro,Arsenal,DEF,31,Everton,False,5.4,0.26,0.0,0.5,0.25734980826587134,0.012,8,1370,1070
Kieran Tierney,Arsenal,DEF,31,Everton,False,5.4,0.26,0.0020535714285714285,0.5020535714285714,0.25837659398015705,0.012,8,1370,1070
Oleksandr Zinchenko,Arsenal,DEF,31,Everton,False,5.4,0.26,0.000625,0.500625,0.25766230826587133,0.012,8,1370,1070
Ayden Heaven,Arsenal,DEF,31,Everton,False,5.4,0.26,0.0,0.5,0.25734980826587134,0.012,8,1370,1070
Josh Nichols,Arsenal,DEF,31,Everton,False,5.4,0.26,0.0,0.5,0.25734980826587134,0.012,8,1370,1070
Jurriën Timber,Arsenal,DEF,31,Everton,False,5.4,0.26,0.01215538993170572,0.5121553899317057,0.2634275032317242,0.06,8,1370,1070
Maldini Kacurri,Arsenal,DEF,31,Everton,False,5.4,0.26,0.0,0.5,0.25734980826587134,0.012,8,1370,1070
Riccardo Calafiori,Arsenal,DEF,31,Everton,False,5.4,0.26,0.001715686274509804,0.5017156862745098,0.25820765140312624,0.033523809523809525,8,1370,1070
Norberto Murara Neto,Arsenal,GK,31,Everton,False,5.4,0.25,0.0,0.5,0.25,0.002,8,1370,1070
Dominik Szoboszlai,Liverpool,MID,31,Fulham,False,4.1,0.25,0.02950288831977637,0.4395028883197763,0.24647611787026727,0.12,9,1350,1150
Karl Hein,Arsenal,GK,31,Everton,False,5.4,0.25,0.0,0.5,0.25,0.002,8,1370,1070
Aaron Ramsdale,Arsenal,GK,31,Everton,False,5.4,0.25,0.0,0.5,0.25,0.002,8,1370,1070
Dominic Solanke-Mitchell,Spurs,FWD,31,Southampton,True,0.95,0.25,0.2864203390563685,0.38142033905636846,0.2524899390544326,0.2,17,1090,1080
Curtis Jones,Liverpool,MID,31,Fulham,False,4.1,0.25,0.035247012383041794,0.4452470123830417,0.24934817990189997,0.088,9,1350,1150
Tommy Setford,Arsenal,GK,31,Everton,False,5.4,0.25,0.0,0.5,0.25,0.002,8,1370,1070
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,31,West Ham,False,1.8,0.24,0.17229299793343908,0.35229299793343904,0.2379262684929679,0.2,19,1170,1110
