home_team,away_team,kickoff,prob_home_win,prob_draw,prob_away_win,bookmaker
Crystal Palace,Bournemouth,2025-04-19T14:00:00Z,0.3627,0.2774,0.3599,Paddy Power
Brentford,Brighton and Hove Albion,2025-04-19T14:00:00Z,0.3864,0.263,0.3506,Coral
Everton,Manchester City,2025-04-19T14:00:00Z,0.2503,0.2682,0.4814,Ladbrokes
West Ham United,Southampton,2025-04-19T14:00:00Z,0.6435,0.214,0.1426,Paddy Power
Aston Villa,Newcastle United,2025-04-19T16:30:00Z,0.4035,0.2651,0.3314,Paddy Power
Ipswich Town,Arsenal,2025-04-20T13:00:00Z,0.1167,0.1966,0.6867,Paddy Power
Fulham,Chelsea,2025-04-20T13:00:00Z,0.3344,0.2754,0.3902,Paddy Power
Manchester United,Wolverhampton Wanderers,2025-04-20T13:00:00Z,0.4665,0.2744,0.2591,Paddy Power
Leicester City,Liverpool,2025-04-20T15:30:00Z,0.0843,0.1427,0.773,Paddy Power
Tottenham Hotspur,Nottingham Forest,2025-04-21T19:00:00Z,0.3776,0.2622,0.3603,Paddy Power
Manchester City,Aston Villa,2025-04-22T19:00:00Z,0.5422,0.2345,0.2233,Paddy Power
Arsenal,Crystal Palace,2025-04-23T19:00:00Z,0.6501,0.2162,0.1337,Paddy Power
Chelsea,Everton,2025-04-26T11:30:00Z,0.5421,0.2605,0.1974,Paddy Power
Brighton and Hove Albion,West Ham United,2025-04-26T14:00:00Z,0.5784,0.2342,0.1874,Paddy Power
Southampton,Fulham,2025-04-26T14:00:00Z,0.186,0.2326,0.5814,Paddy Power
Newcastle United,Ipswich Town,2025-04-26T14:00:00Z,0.7692,0.1538,0.0769,Paddy Power
Wolverhampton Wanderers,Leicester City,2025-04-26T14:00:00Z,0.5887,0.2432,0.1681,Paddy Power
Bournemouth,Manchester United,2025-04-27T13:00:00Z,0.4701,0.2612,0.2687,Paddy Power
Liverpool,Tottenham Hotspur,2025-04-27T15:30:00Z,0.7213,0.1692,0.1095,Paddy Power
Nottingham Forest,Brentford,2025-05-01T18:30:00Z,0.4299,0.2719,0.2982,Betway
