model,target,cutoff_gw,prediction_window,mae,rmse,r2,n_train,n_test
RandomForest,goals_scored,10,1,0.01433628318584071,0.08287247195341536,0.8214445336802216,6552,678
RandomForest,goals_scored,10,2,0.014317180616740088,0.08099690898908185,0.8551740432216299,6552,1362
RandomForest,goals_scored,15,1,0.017346647646219685,0.0935875554110556,0.818350645733097,9927,701
RandomForest,goals_scored,15,2,0.015677603423680457,0.08749974526149999,0.8594031222848174,9927,1402
RandomForest,goals_scored,20,1,0.013646408839779007,0.09346905417515355,0.8374700170357751,13454,724
RandomForest,goals_scored,20,2,0.013646408839779007,0.09346905417515355,0.8374700170357751,13454,724
LinearRegression,goals_scored,10,1,0.05094443176336511,0.10556308221585244,0.7102811931422615,6552,678
LinearRegression,goals_scored,10,2,0.05351791979802748,0.10927085624218265,0.736416507882532,6552,1362
LinearRegression,goals_scored,15,1,0.05655202632385652,0.12117729882628261,0.6954629148857232,9927,701
LinearRegression,goals_scored,15,2,0.055227878318140015,0.11681774979513408,0.7494007472314047,9927,1402
LinearRegression,goals_scored,20,1,0.054151907055188964,0.12847288572428567,0.6929417628602015,13454,724
LinearRegression,goals_scored,20,2,0.054151907055188964,0.12847288572428567,0.6929417628602015,13454,724
Ridge,goals_scored,10,1,0.05095293679535005,0.1054131695808472,0.7111034819399611,6552,678
Ridge,goals_scored,10,2,0.0534637934880868,0.10905914569194108,0.7374368960987678,6552,1362
Ridge,goals_scored,15,1,0.05656268934863604,0.1212935523513627,0.6948783088169614,9927,701
Ridge,goals_scored,15,2,0.05523376594499008,0.11689506837719175,0.7490689074014643,9927,1402
Ridge,goals_scored,20,1,0.054164071748232755,0.1284443180533291,0.693078304720447,13454,724
Ridge,goals_scored,20,2,0.054164071748232755,0.1284443180533291,0.693078304720447,13454,724
XGBoost,goals_scored,10,1,0.015782314425606358,0.08177267911705581,0.8261522728726058,6552,678
XGBoost,goals_scored,10,2,0.015275124666164487,0.08158142724102614,0.8530762133424816,6552,1362
XGBoost,goals_scored,15,1,0.01718425061680488,0.09350474266876467,0.8186719753287961,9927,701
XGBoost,goals_scored,15,2,0.014098817945879622,0.08032599231629296,0.8815120194435239,9927,1402
XGBoost,goals_scored,20,1,0.015319266241715404,0.09149400401601739,0.8442661351919942,13454,724
XGBoost,goals_scored,20,2,0.015319266241715404,0.09149400401601739,0.8442661351919942,13454,724
