element_in,element_in_cost,element_out,element_out_cost,entry,event,time
409,46,172,48,18033,34,2025-04-26T09:36:45.981469Z
185,45,413,50,18033,34,2025-04-26T09:36:45.981122Z
172,48,255,48,18033,34,2025-04-26T09:29:29.171318Z
413,50,185,45,18033,34,2025-04-26T09:29:29.171043Z
185,45,248,50,18033,34,2025-04-26T09:20:01.273239Z
327,76,317,72,18033,34,2025-04-26T08:52:11.695808Z
418,56,533,49,18033,34,2025-04-26T08:52:11.695539Z
71,60,366,85,18033,34,2025-04-25T19:25:19.765295Z
317,72,327,75,18033,34,2025-04-25T11:41:59.137244Z
148,55,473,44,18033,34,2025-04-25T11:41:59.136965Z
327,75,398,74,18033,34,2025-04-20T09:08:41.339607Z
248,50,413,49,18033,34,2025-04-20T09:08:41.339440Z
510,39,47,50,18033,34,2025-04-20T09:08:41.339215Z
228,38,44,44,18033,34,2025-04-19T22:20:47.781296Z
558,38,211,50,18033,34,2025-04-19T22:20:47.781020Z
533,49,18,65,18033,34,2025-04-19T22:20:47.780806Z
413,49,15,55,18033,34,2025-04-19T22:20:47.780591Z
99,79,199,68,18033,34,2025-04-19T22:20:47.780365Z
473,44,755,74,18033,34,2025-04-19T22:20:47.780159Z
255,49,395,44,18033,34,2025-04-19T22:20:47.779932Z
163,54,361,54,18033,34,2025-04-19T22:20:47.779605Z
366,85,585,57,18033,34,2025-04-19T22:20:47.779353Z
541,68,82,73,18033,34,2025-04-19T22:20:47.779139Z
328,138,17,104,18033,34,2025-04-19T22:20:47.778913Z
182,106,345,93,18033,34,2025-04-19T22:20:47.778601Z
345,93,182,106,18033,33,2025-04-19T10:30:44.398274Z
47,50,347,53,18033,33,2025-04-19T10:30:44.393075Z
398,74,54,52,18033,31,2025-04-05T09:59:37.714879Z
361,54,350,60,18033,31,2025-04-05T09:27:36.902576Z
82,73,207,76,18033,31,2025-04-05T09:16:31.434362Z
585,57,402,50,18033,31,2025-04-05T09:16:31.433921Z
182,107,328,138,18033,31,2025-04-05T09:16:31.433486Z
18,64,8,48,18033,31,2025-04-05T09:16:31.433026Z
199,68,71,60,18033,31,2025-04-04T20:45:52.320385Z
328,138,182,107,18033,31,2025-04-04T20:45:52.320172Z
347,53,308,39,18033,31,2025-04-04T20:45:52.319928Z
402,50,514,75,18033,31,2025-04-04T20:45:52.319645Z
17,103,23,68,18033,31,2025-04-04T20:45:52.319368Z
44,44,231,43,18033,31,2025-04-04T20:45:52.319151Z
8,48,270,39,18033,31,2025-04-04T20:45:52.318909Z
395,44,3,62,18033,31,2025-04-04T20:45:52.318646Z
15,55,235,51,18033,31,2025-04-03T21:41:04.975790Z
207,76,129,56,18033,31,2025-04-03T21:39:13.778857Z
401,94,351,147,18033,30,2025-04-01T16:22:00.256221Z
755,72,321,74,18033,29,2025-03-15T13:28:27.189807Z
351,147,58,88,18033,29,2025-03-14T20:20:59.830035Z
514,75,328,132,18033,29,2025-03-14T20:20:59.829591Z
350,59,311,72,18033,29,2025-03-14T20:20:59.823349Z
741,8,737,8,18033,26,2025-02-21T17:47:36.483090Z
23,68,398,74,18033,25,2025-02-13T09:56:54.405969Z
737,8,742,5,18033,25,2025-02-13T09:56:16.308488Z
71,58,199,66,18033,24,2025-02-01T10:23:48.596809Z
235,51,15,55,18033,24,2025-02-01T10:23:48.596453Z
321,75,82,74,18033,23,2025-01-25T13:22:14.277772Z
199,66,514,74,18033,20,2025-01-02T23:46:23.659462Z
58,88,4,79,18033,20,2025-01-02T23:46:23.654791Z
211,47,399,46,18033,19,2024-12-29T12:47:40.614032Z
129,59,541,68,18033,17,2024-12-21T10:06:28.601783Z
398,72,372,61,18033,17,2024-12-21T10:06:28.595427Z
399,45,355,46,18033,16,2024-12-14T13:09:30.379838Z
311,69,533,47,18033,14,2024-12-03T17:10:49.454858Z
514,74,99,74,18033,14,2024-12-03T17:10:49.451087Z
15,55,347,55,18033,12,2024-11-23T10:35:28.278868Z
3,61,311,69,18033,12,2024-11-23T09:59:10.867902Z
541,66,351,153,18033,10,2024-11-02T10:51:43.828872Z
328,127,608,45,18033,10,2024-11-02T10:51:43.824073Z
182,109,503,98,18033,9,2024-10-25T17:22:51.745597Z
533,45,18,60,18033,9,2024-10-25T17:22:51.741650Z
372,62,78,56,18033,8,2024-10-19T09:57:42.751196Z
503,98,17,100,18033,8,2024-10-19T09:34:42.430741Z
347,55,15,55,18033,6,2024-09-27T22:19:01.841549Z
608,45,327,79,18033,6,2024-09-27T22:19:01.841199Z
231,43,495,55,18033,6,2024-09-27T22:19:01.840900Z
4,81,473,45,18033,6,2024-09-27T22:19:01.840558Z
18,60,255,46,18033,6,2024-09-26T12:58:39.995937Z
473,45,129,55,18033,6,2024-09-26T12:58:39.995700Z
82,75,180,76,18033,6,2024-09-26T12:58:39.995457Z
351,153,58,90,18033,6,2024-09-26T12:58:39.995222Z
78,56,328,126,18033,6,2024-09-26T12:58:39.994964Z
355,47,116,40,18033,6,2024-09-26T12:58:39.994649Z
270,40,275,40,18033,6,2024-09-25T23:01:14.576793Z
327,79,317,75,18033,6,2024-09-25T22:59:09.051910Z
17,100,503,100,18033,6,2024-09-25T22:58:35.243410Z
15,55,201,45,18033,6,2024-09-21T20:42:39.017032Z
99,71,366,83,18033,6,2024-09-21T20:42:39.016568Z
180,76,401,84,18033,6,2024-09-21T20:42:39.011212Z
58,90,82,75,18033,3,2024-08-31T07:41:28.193637Z
54,50,181,65,18033,3,2024-08-25T21:19:53.134861Z
